None,ticker,date,close,volume
132,IVZ,2018-03-07,33.34,4082329.0
133,IVZ,2018-03-06,33.12,3012752.0
134,IVZ,2018-03-05,32.67,3225602.0
135,IVZ,2018-03-02,32.21,3727600.0
136,IVZ,2018-03-01,31.81,4218443.0
137,IVZ,2018-02-28,32.54,4098235.0
138,IVZ,2018-02-27,33.02,3266875.0
139,IVZ,2018-02-26,33.84,2636577.0
140,IVZ,2018-02-23,33.19,2230435.0
141,IVZ,2018-02-22,32.94,3783075.0
142,IVZ,2018-02-21,33.22,3769741.0
143,IVZ,2018-02-20,33.21,4281635.0
144,IVZ,2018-02-16,33.92,4801236.0
145,IVZ,2018-02-15,33.19,3747809.0
146,IVZ,2018-02-14,33.17,3932443.0
147,IVZ,2018-02-13,32.51,3180873.0
148,IVZ,2018-02-12,32.52,2715961.0
149,IVZ,2018-02-09,32.44,5316685.0
150,IVZ,2018-02-08,31.92,4143576.0
151,IVZ,2018-02-07,33.46,4162831.0
152,IVZ,2018-02-06,33.61,6412809.0
153,IVZ,2018-02-05,33.17,6208166.0
154,IVZ,2018-02-02,35.16,4996773.0
155,IVZ,2018-02-01,36.03,3966626.0
156,IVZ,2018-01-31,36.13,4906359.0
157,IVZ,2018-01-30,36.68,3924828.0
158,IVZ,2018-01-29,37.48,3056512.0
159,IVZ,2018-01-26,38.4,3271482.0
160,IVZ,2018-01-25,37.59,2018986.0
161,IVZ,2018-01-24,37.61,2673014.0
162,IVZ,2018-01-23,37.61,3187251.0
163,IVZ,2018-01-22,37.87,3096192.0
164,IVZ,2018-01-19,38.13,2450570.0
165,IVZ,2018-01-18,37.86,2308808.0
166,IVZ,2018-01-17,38.08,3170584.0
167,IVZ,2018-01-16,37.2,3768076.0
168,IVZ,2018-01-12,37.86,2511785.0
169,IVZ,2018-01-11,37.3,2974177.0
170,IVZ,2018-01-10,36.82,3929525.0
171,IVZ,2018-01-09,37.2,2825481.0
172,IVZ,2018-01-08,36.84,3534044.0
173,IVZ,2018-01-05,37.28,3219762.0
174,IVZ,2018-01-04,36.83,2362264.0
175,IVZ,2018-01-03,36.53,2876736.0
176,IVZ,2018-01-02,36.35,2814381.0
177,GM,2018-03-27,34.87,17393191.0
178,GM,2018-03-26,35.99,9251162.0
179,GM,2018-03-23,35.17,12939065.0
180,GM,2018-03-22,36.35,12455805.0
181,GM,2018-03-21,37.58,11412099.0
182,GM,2018-03-20,36.89,8448931.0
183,GM,2018-03-19,37.01,12021583.0
184,GM,2018-03-16,37.94,10016932.0
185,GM,2018-03-15,37.85,8078386.0
186,GM,2018-03-14,37.69,13293352.0
187,GM,2018-03-13,38.01,12346062.0
188,GM,2018-03-12,37.83,11340349.0
189,GM,2018-03-09,37.84,12251575.0
190,GM,2018-03-08,37.84,12859595.0
191,GM,2018-03-07,37.74,15052041.0
192,GM,2018-03-06,37.93,12147268.0
193,GM,2018-03-05,37.74,12011053.0
194,GM,2018-03-02,37.43,24060510.0
195,GM,2018-03-01,37.79,26183081.0
196,GM,2018-02-28,39.35,22813353.0
197,GM,2018-02-27,40.17,12628018.0
198,GM,2018-02-26,41.54,8665406.0
199,GM,2018-02-23,40.91,6261005.0
200,GM,2018-02-22,40.91,8777991.0
201,GM,2018-02-21,40.56,9074741.0
202,GM,2018-02-20,40.77,7359829.0
203,GM,2018-02-16,41.09,14348841.0
204,GM,2018-02-15,41.85,9455372.0
205,GM,2018-02-14,41.81,10257574.0
206,GM,2018-02-13,41.4,8924407.0
207,GM,2018-02-12,42.0,19333515.0
208,GM,2018-02-09,41.46,19549183.0
209,GM,2018-02-08,40.75,17724587.0
210,GM,2018-02-07,42.39,19349300.0
211,GM,2018-02-06,41.86,25944391.0
212,GM,2018-02-05,39.54,19385830.0
213,GM,2018-02-02,41.0,13808833.0
214,GM,2018-02-01,42.43,9623381.0
215,GM,2018-01-31,42.41,19650855.0
216,GM,2018-01-30,42.7,7488471.0
217,GM,2018-01-29,43.02,8020055.0
218,GM,2018-01-26,43.49,8262940.0
219,GM,2018-01-25,43.16,10843851.0
220,GM,2018-01-24,44.16,11263094.0
221,GM,2018-01-23,43.38,13876884.0
222,GM,2018-01-22,43.29,15218645.0
223,GM,2018-01-19,43.15,13522800.0
224,GM,2018-01-18,43.86,11672457.0
225,GM,2018-01-17,44.03,13713475.0
226,GM,2018-01-16,44.19,19941635.0
227,GM,2018-01-12,44.07,14151136.0
228,GM,2018-01-11,44.19,11110374.0
229,GM,2018-01-10,43.0,18140498.0
230,GM,2018-01-09,44.05,7731258.0
231,GM,2018-01-08,44.22,13023999.0
232,GM,2018-01-05,44.01,9510219.0
233,GM,2018-01-04,44.14,17159951.0
234,GM,2018-01-03,42.82,14550960.0
235,GM,2018-01-02,41.8,6924308.0
236,GE,2018-03-27,13.44,153476613.0
237,GE,2018-03-26,12.89,101095809.0
238,GE,2018-03-23,13.07,82930120.0
239,GE,2018-03-22,13.35,70929333.0
240,GE,2018-03-21,13.88,64989359.0
241,GE,2018-03-20,13.64,87699197.0
242,GE,2018-03-19,14.07,63730409.0
243,GE,2018-03-16,14.31,112720462.0
244,GE,2018-03-15,14.36,47236276.0
245,GE,2018-03-14,14.27,56740772.0
246,GE,2018-03-13,14.43,117996656.0
247,GE,2018-03-12,15.1,70090137.0
248,GE,2018-03-09,14.94,58882462.0
249,GE,2018-03-08,14.52,48822603.0
250,GE,2018-03-07,14.51,82999190.0
251,GE,2018-03-06,14.64,58025636.0
252,GE,2018-03-05,14.42,87449520.0
253,GE,2018-03-02,14.12,74629576.0
254,GE,2018-03-01,14.02,91875668.0
255,GE,2018-02-28,14.11,87781209.0
256,GE,2018-02-27,14.5,91924040.0
257,GE,2018-02-26,14.65,144854087.0
258,GE,2018-02-23,14.49,52307766.0
259,GE,2018-02-22,14.62,78200276.0
260,GE,2018-02-21,14.49,97860029.0
261,GE,2018-02-20,14.74,61317684.0
262,GE,2018-02-16,15.05,64447124.0
263,GE,2018-02-15,14.85,54704722.0
264,GE,2018-02-14,14.9,85782841.0
265,GE,2018-02-13,14.67,73353758.0
266,GE,2018-02-12,14.82,75408672.0
267,GE,2018-02-09,14.94,128757594.0
268,GE,2018-02-08,14.45,133723033.0
269,GE,2018-02-07,15.25,75686317.0
270,GE,2018-02-06,15.27,126450615.0
271,GE,2018-02-05,14.91,120550446.0
272,GE,2018-02-02,15.64,81800428.0
273,GE,2018-02-01,16.02,52598522.0
274,GE,2018-01-31,16.17,75864777.0
275,GE,2018-01-30,15.95,67620696.0
276,GE,2018-01-29,16.28,73028014.0
277,GE,2018-01-26,16.13,87681152.0
278,GE,2018-01-25,16.18,92685118.0
279,GE,2018-01-24,16.44,165697552.0
280,GE,2018-01-23,16.89,120217528.0
281,GE,2018-01-22,16.17,132799182.0
282,GE,2018-01-19,16.26,213844559.0
283,GE,2018-01-18,16.77,170184728.0
284,GE,2018-01-17,17.35,185781751.0
285,GE,2018-01-16,18.21,204909381.0
286,GE,2018-01-12,18.76,86868316.0
287,GE,2018-01-11,19.02,99164671.0
288,GE,2018-01-10,18.929,77058784.0
289,GE,2018-01-09,18.56,64768270.0
290,GE,2018-01-08,18.28,81942490.0
291,GE,2018-01-05,18.54,79151826.0
292,GE,2018-01-04,18.53,81712858.0
293,GE,2018-01-03,18.15,81279827.0
294,GE,2018-01-02,17.98,77244095.0
295,CRM,2018-03-27,113.81,8194019.0
296,CRM,2018-03-26,118.97,13037387.0
297,CRM,2018-03-23,114.43,10642454.0
298,CRM,2018-03-22,118.04,10592840.0
299,CRM,2018-03-21,121.7,14699171.0
300,CRM,2018-03-20,125.12,6712556.0
301,CRM,2018-03-19,124.98,6805787.0
302,CRM,2018-03-16,125.97,6515352.0
303,CRM,2018-03-15,127.22,4353016.0
304,CRM,2018-03-14,127.99,4869252.0
305,CRM,2018-03-13,126.73,4583770.0
306,CRM,2018-03-12,126.78,5458766.0
307,CRM,2018-03-09,127.41,5630018.0
308,CRM,2018-03-08,126.36,5913213.0
309,CRM,2018-03-07,125.33,6750393.0
310,CRM,2018-03-06,124.48,8149601.0
311,CRM,2018-03-05,122.5,10121251.0
312,CRM,2018-03-02,121.92,10627548.0
313,CRM,2018-03-01,119.43,15555500.0
314,CRM,2018-02-28,116.25,8566561.0
315,CRM,2018-02-27,116.47,5835472.0
316,CRM,2018-02-26,116.65,5385157.0
317,CRM,2018-02-23,114.96,4104870.0
318,CRM,2018-02-22,113.0,4761405.0
319,CRM,2018-02-21,114.48,4961083.0
320,CRM,2018-02-20,114.35,4263097.0
321,CRM,2018-02-16,112.86,4487228.0
322,CRM,2018-02-15,113.12,8306817.0
323,CRM,2018-02-14,109.02,7386930.0
324,CRM,2018-02-13,107.69,7519553.0
325,CRM,2018-02-12,108.55,4553546.0
326,CRM,2018-02-09,106.98,6578053.0
327,CRM,2018-02-08,104.03,6744217.0
328,CRM,2018-02-07,110.05,4480815.0
329,CRM,2018-02-06,109.57,6826342.0
330,CRM,2018-02-05,107.65,5853695.0
331,CRM,2018-02-02,110.78,4151937.0
332,CRM,2018-02-01,112.74,4027010.0
333,CRM,2018-01-31,113.91,3982841.0
334,CRM,2018-01-30,112.23,3699992.0
335,CRM,2018-01-29,113.3,3102427.0
336,CRM,2018-01-26,113.7,3840374.0
337,CRM,2018-01-25,111.96,4477944.0
338,CRM,2018-01-24,112.85,3970974.0
339,CRM,2018-01-23,113.24,2746621.0
340,CRM,2018-01-22,112.89,2193750.0
341,CRM,2018-01-19,111.93,3023779.0
342,CRM,2018-01-18,111.77,3752040.0
343,CRM,2018-01-17,110.04,4079574.0
344,CRM,2018-01-16,108.89,5267936.0
345,CRM,2018-01-12,110.24,5734677.0
346,CRM,2018-01-11,109.1,2597928.0
347,CRM,2018-01-10,108.8,2881133.0
348,CRM,2018-01-09,109.15,3301150.0
349,CRM,2018-01-08,108.86,2920239.0
350,CRM,2018-01-05,108.1,3292050.0
351,CRM,2018-01-04,106.68,4480624.0
352,CRM,2018-01-03,105.29,3645775.0
353,CRM,2018-01-02,104.41,4367522.0
354,CMG,2018-03-27,322.96,597790.0
355,CMG,2018-03-26,327.86,688407.0
356,CMG,2018-03-23,322.3,1045193.0
357,CMG,2018-03-22,336.71,1538404.0
358,CMG,2018-03-21,334.52,1377569.0
359,CMG,2018-03-20,320.17,546963.0
360,CMG,2018-03-19,316.8,547705.0
361,CMG,2018-03-16,320.2,723417.0
362,CMG,2018-03-15,318.91,786643.0
363,CMG,2018-03-14,319.66,760919.0
364,CMG,2018-03-13,326.8,656720.0
365,CMG,2018-03-12,323.76,628527.0
366,CMG,2018-03-09,322.16,562605.0
367,CMG,2018-03-08,321.86,534757.0
368,CMG,2018-03-07,319.95,384740.0
369,CMG,2018-03-06,318.04,534628.0
370,CMG,2018-03-05,320.16,790311.0
371,CMG,2018-03-02,319.99,843313.0
372,CMG,2018-03-01,313.26,1095845.0
373,CMG,2018-02-28,318.41,909921.0
374,CMG,2018-02-27,319.15,1746061.0
375,CMG,2018-02-26,311.89,909869.0
376,CMG,2018-02-23,315.82,953270.0
377,CMG,2018-02-22,313.91,1287355.0
378,CMG,2018-02-21,320.96,1896953.0
379,CMG,2018-02-20,317.57,2731520.0
380,CMG,2018-02-16,305.63,2728873.0
381,CMG,2018-02-15,286.65,1203690.0
382,CMG,2018-02-14,289.91,5361764.0
383,CMG,2018-02-13,251.33,1040417.0
384,CMG,2018-02-12,254.45,1949430.0
385,CMG,2018-02-09,255.46,3048218.0
386,CMG,2018-02-08,266.01,1884097.0
387,CMG,2018-02-07,272.21,4771143.0
388,CMG,2018-02-06,304.33,1580520.0
389,CMG,2018-02-05,300.3,1343000.0
390,CMG,2018-02-02,311.64,950117.0
391,CMG,2018-02-01,314.72,1645067.0
392,CMG,2018-01-31,324.76,735213.0
393,CMG,2018-01-30,322.08,1924005.0
394,CMG,2018-01-29,332.33,758855.0
395,CMG,2018-01-26,330.23,658452.0
396,CMG,2018-01-25,333.97,570923.0
397,CMG,2018-01-24,329.53,782562.0
398,CMG,2018-01-23,328.71,1223809.0
399,CMG,2018-01-22,330.0,1428793.0
400,CMG,2018-01-19,343.87,1151717.0
401,CMG,2018-01-18,337.53,884144.0
402,CMG,2018-01-17,334.63,974132.0
403,CMG,2018-01-16,327.37,706173.0
404,CMG,2018-01-12,327.34,673883.0
405,CMG,2018-01-11,325.5,812863.0
406,CMG,2018-01-10,321.8,1151898.0
407,CMG,2018-01-09,319.37,679048.0
408,CMG,2018-01-08,318.47,1083289.0
409,CMG,2018-01-05,313.79,997794.0
410,CMG,2018-01-04,307.11,701138.0
411,CMG,2018-01-03,309.0,1955387.0
412,CMG,2018-01-02,292.95,1463603.0
413,AMZN,2018-03-27,1497.05,6793279.0
414,AMZN,2018-03-26,1555.86,5547618.0
415,AMZN,2018-03-23,1495.56,7843966.0
416,AMZN,2018-03-22,1544.1,6177737.0
417,AMZN,2018-03-21,1581.86,4667291.0
418,AMZN,2018-03-20,1586.51,4507049.0
419,AMZN,2018-03-19,1544.93,6376619.0
420,AMZN,2018-03-16,1571.68,5145054.0
421,AMZN,2018-03-15,1582.32,4026744.0
422,AMZN,2018-03-14,1591.0,4164395.0
423,AMZN,2018-03-13,1588.18,6427066.0
424,AMZN,2018-03-12,1598.39,5115886.0
425,AMZN,2018-03-09,1578.89,4417059.0
426,AMZN,2018-03-08,1551.86,3512528.0
